date,airline,deptime,arrtime,price
2023-08-03,대한항공,08:05,09:10,"110,700"
2023-08-03,티웨이항공,08:30,09:30,"90,000"
2023-08-03,티웨이항공,08:30,09:30,"98,700"
2023-08-03,에어부산,08:40,09:40,"90,960"
2023-08-03,에어부산,08:40,09:40,"98,700"
2023-08-03,대한항공,09:00,10:05,"91,700"
2023-08-03,대한항공,09:00,10:05,"110,700"
2023-08-03,에어부산,09:40,10:40,"88,380"
2023-08-03,에어부산,09:40,10:40,"98,700"
2023-08-03,대한항공,10:25,11:30,"101,700"
2023-08-03,대한항공,10:25,11:30,"110,700"
2023-08-03,대한항공,10:25,11:30,"170,700"
2023-08-03,에어부산,11:00,12:00,"95,260"
2023-08-03,에어부산,11:00,12:00,"98,700"
2023-08-03,티웨이항공,11:40,12:40,"94,000"
2023-08-03,티웨이항공,11:40,12:40,"98,700"
2023-08-03,에어부산,12:00,13:00,"95,260"
2023-08-03,에어부산,12:00,13:00,"98,700"
2023-08-03,대한항공,12:20,13:25,"101,700"
2023-08-03,대한항공,12:20,13:25,"110,700"
2023-08-03,에어부산,12:50,13:50,"97,840"
2023-08-03,에어부산,12:50,13:50,"98,700"
2023-08-03,대한항공,14:00,15:05,"101,700"
2023-08-03,대한항공,14:00,15:05,"110,700"
2023-08-03,대한항공,14:00,15:05,"170,700"
2023-08-03,에어부산,14:20,15:25,"93,540"
2023-08-03,에어부산,14:20,15:25,"98,700"
2023-08-03,티웨이항공,14:50,15:50,"94,000"
2023-08-03,티웨이항공,14:50,15:50,"98,700"
2023-08-03,에어부산,15:40,16:40,"93,540"
2023-08-03,에어부산,15:40,16:40,"98,700"
2023-08-03,대한항공,16:00,17:05,"91,700"
2023-08-03,대한항공,16:00,17:05,"110,700"
2023-08-03,에어부산,16:40,17:40,"89,240"
2023-08-03,에어부산,16:40,17:40,"98,700"
2023-08-03,대한항공,17:20,18:25,"91,700"
2023-08-03,대한항공,17:20,18:25,"110,700"
2023-08-03,대한항공,17:20,18:25,"170,700"
2023-08-03,에어부산,17:40,18:40,"89,240"
2023-08-03,에어부산,17:40,18:40,"98,700"
2023-08-03,티웨이항공,18:20,19:20,"90,000"
2023-08-03,티웨이항공,18:20,19:20,"98,700"
2023-08-03,에어부산,19:00,20:00,"90,960"
2023-08-03,에어부산,19:00,20:00,"98,700"
2023-08-03,대한항공,19:25,20:35,"101,700"
2023-08-03,대한항공,19:25,20:35,"110,700"
2023-08-03,진에어,19:40,20:40,"88,600"
2023-08-03,진에어,19:40,20:40,"100,700"
2023-08-03,제주항공,19:45,20:45,"91,600"
2023-08-03,제주항공,19:45,20:45,"98,700"
2023-08-03,진에어,20:05,21:05,"90,600"
2023-08-03,진에어,20:05,21:05,"100,700"
2023-08-03,에어부산,20:20,21:35,"90,960"
2023-08-03,에어부산,20:20,21:35,"98,700"
2023-08-04,제주항공,06:20,07:20,"80,600"
2023-08-04,제주항공,06:20,07:20,"98,700"
2023-08-04,대한항공,07:00,08:05,"91,700"
2023-08-04,대한항공,07:00,08:05,"110,700"
2023-08-04,대한항공,07:00,08:05,"170,700"
2023-08-04,에어부산,07:20,08:25,"84,940"
2023-08-04,에어부산,07:20,08:25,"98,700"
2023-08-04,대한항공,08:05,09:10,"110,700"
2023-08-04,티웨이항공,08:30,09:30,"90,000"
2023-08-04,티웨이항공,08:30,09:30,"98,700"
2023-08-04,에어부산,08:40,09:40,"90,960"
2023-08-04,에어부산,08:40,09:40,"98,700"
2023-08-04,대한항공,09:00,10:05,"101,700"
2023-08-04,대한항공,09:00,10:05,"110,700"
2023-08-04,에어부산,09:40,10:40,"97,840"
2023-08-04,에어부산,09:40,10:40,"98,700"
2023-08-04,대한항공,10:25,11:30,"101,700"
2023-08-04,대한항공,10:25,11:30,"110,700"
2023-08-04,대한항공,10:25,11:30,"170,700"
2023-08-04,에어부산,11:00,12:00,"95,260"
2023-08-04,에어부산,11:00,12:00,"98,700"
2023-08-04,티웨이항공,11:40,12:40,"94,000"
2023-08-04,티웨이항공,11:40,12:40,"98,700"
2023-08-04,에어부산,12:00,13:05,"93,540"
2023-08-04,에어부산,12:00,13:05,"98,700"
2023-08-04,대한항공,12:20,13:25,"101,700"
2023-08-04,대한항공,12:20,13:25,"110,700"
2023-08-04,에어부산,12:50,13:50,"97,840"
2023-08-04,에어부산,12:50,13:50,"98,700"
2023-08-04,대한항공,14:00,15:05,"101,700"
2023-08-04,대한항공,14:00,15:05,"110,700"
2023-08-04,대한항공,14:00,15:05,"170,700"
2023-08-04,에어부산,14:20,15:25,"93,540"
2023-08-04,에어부산,14:20,15:25,"98,700"
2023-08-04,티웨이항공,14:50,15:50,"94,000"
2023-08-04,티웨이항공,14:50,15:50,"98,700"
2023-08-04,에어부산,15:40,16:40,"97,840"
2023-08-04,에어부산,15:40,16:40,"98,700"
2023-08-04,대한항공,16:00,17:05,"101,700"
2023-08-04,대한항공,16:00,17:05,"110,700"
2023-08-04,에어부산,16:40,17:40,"97,840"
2023-08-04,에어부산,16:40,17:40,"98,700"
2023-08-04,대한항공,17:20,18:25,"101,700"
2023-08-04,대한항공,17:20,18:25,"110,700"
2023-08-04,대한항공,17:20,18:25,"170,700"
2023-08-04,에어부산,17:40,18:40,"97,840"
2023-08-04,에어부산,17:40,18:40,"98,700"
2023-08-04,티웨이항공,18:20,19:20,"94,000"
2023-08-04,티웨이항공,18:20,19:20,"98,700"
2023-08-04,에어부산,19:00,20:00,"97,840"
2023-08-04,에어부산,19:00,20:00,"98,700"
2023-08-04,대한항공,19:25,20:35,"101,700"
2023-08-04,대한항공,19:25,20:35,"110,700"
2023-08-04,진에어,19:40,20:40,"94,600"
2023-08-04,진에어,19:40,20:40,"100,700"
2023-08-04,제주항공,19:45,20:45,"95,600"
2023-08-04,제주항공,19:45,20:45,"98,700"
2023-08-04,진에어,20:05,21:05,"95,600"
2023-08-04,진에어,20:05,21:05,"100,700"
2023-08-04,에어부산,20:20,21:35,"97,840"
2023-08-04,에어부산,20:20,21:35,"98,700"
2023-08-05,제주항공,06:20,07:20,"75,600"
2023-08-05,제주항공,06:20,07:20,"98,700"
2023-08-05,대한항공,07:00,08:05,"81,700"
2023-08-05,대한항공,07:00,08:05,"110,700"
2023-08-05,대한항공,07:00,08:05,"170,700"
2023-08-05,에어부산,07:20,08:25,"76,340"
2023-08-05,에어부산,07:20,08:25,"98,700"
2023-08-05,대한항공,08:05,09:10,"81,700"
2023-08-05,대한항공,08:05,09:10,"110,700"
2023-08-05,티웨이항공,08:30,09:30,"76,700"
2023-08-05,티웨이항공,08:30,09:30,"98,700"
2023-08-05,에어부산,08:40,09:40,"82,360"
2023-08-05,에어부산,08:40,09:40,"98,700"
2023-08-05,대한항공,09:00,10:05,"91,700"
2023-08-05,대한항공,09:00,10:05,"110,700"
2023-08-05,에어부산,09:40,10:40,"90,960"
2023-08-05,에어부산,09:40,10:40,"98,700"
2023-08-05,대한항공,10:25,11:30,"91,700"
2023-08-05,대한항공,10:25,11:30,"110,700"
2023-08-05,에어부산,11:00,12:00,"89,240"
2023-08-05,에어부산,11:00,12:00,"98,700"
2023-08-05,티웨이항공,11:40,12:40,"84,700"
2023-08-05,티웨이항공,11:40,12:40,"98,700"
2023-08-05,에어부산,12:00,13:05,"93,540"
2023-08-05,에어부산,12:00,13:05,"98,700"
2023-08-05,대한항공,12:20,13:25,"101,700"
2023-08-05,대한항공,12:20,13:25,"110,700"
2023-08-05,에어부산,12:50,13:50,"97,840"
2023-08-05,에어부산,12:50,13:50,"98,700"
2023-08-05,대한항공,14:00,15:05,"91,700"
2023-08-05,대한항공,14:00,15:05,"110,700"
2023-08-05,대한항공,14:00,15:05,"170,700"
2023-08-05,에어부산,14:20,15:25,"90,960"
2023-08-05,에어부산,14:20,15:25,"98,700"
2023-08-05,티웨이항공,14:50,15:50,"84,700"
2023-08-05,티웨이항공,14:50,15:50,"98,700"
2023-08-05,에어부산,15:40,16:40,"89,240"
2023-08-05,에어부산,15:40,16:40,"98,700"
2023-08-05,대한항공,16:00,17:05,"91,700"
2023-08-05,대한항공,16:00,17:05,"110,700"
2023-08-05,에어부산,16:40,17:40,"90,960"
2023-08-05,에어부산,16:40,17:40,"98,700"
2023-08-05,대한항공,17:20,18:25,"91,700"
2023-08-05,대한항공,17:20,18:25,"110,700"
2023-08-05,에어부산,17:40,18:40,"89,240"
2023-08-05,에어부산,17:40,18:40,"98,700"
2023-08-05,티웨이항공,18:20,19:20,"84,700"
2023-08-05,티웨이항공,18:20,19:20,"98,700"
2023-08-05,에어부산,19:00,20:00,"84,940"
2023-08-05,에어부산,19:00,20:00,"98,700"
2023-08-05,대한항공,19:25,20:35,"91,700"
2023-08-05,대한항공,19:25,20:35,"110,700"
2023-08-05,진에어,19:40,20:40,"85,600"
2023-08-05,진에어,19:40,20:40,"100,700"
2023-08-05,제주항공,19:45,20:45,"85,600"
2023-08-05,제주항공,19:45,20:45,"98,700"
2023-08-05,진에어,20:05,21:05,"84,600"
2023-08-05,진에어,20:05,21:05,"100,700"
2023-08-05,에어부산,20:20,21:35,"84,940"
2023-08-05,에어부산,20:20,21:35,"98,700"
2023-08-06,제주항공,06:20,07:20,"80,600"
2023-08-06,제주항공,06:20,07:20,"98,700"
2023-08-06,대한항공,07:00,08:05,"91,700"
2023-08-06,대한항공,07:00,08:05,"110,700"
2023-08-06,대한항공,07:00,08:05,"170,700"
2023-08-06,에어부산,07:20,08:25,"80,640"
2023-08-06,에어부산,07:20,08:25,"98,700"
2023-08-06,대한항공,08:05,09:10,"91,700"
2023-08-06,대한항공,08:05,09:10,"110,700"
2023-08-06,티웨이항공,08:30,09:30,"82,000"
2023-08-06,티웨이항공,08:30,09:30,"98,700"
2023-08-06,에어부산,08:40,09:40,"90,960"
2023-08-06,에어부산,08:40,09:40,"98,700"
2023-08-06,대한항공,09:00,10:05,"91,700"
2023-08-06,대한항공,09:00,10:05,"110,700"
2023-08-06,에어부산,09:40,10:40,"90,100"
2023-08-06,에어부산,09:40,10:40,"98,700"
2023-08-06,대한항공,10:25,11:30,"91,700"
2023-08-06,대한항공,10:25,11:30,"110,700"
2023-08-06,대한항공,10:25,11:30,"170,700"
2023-08-06,에어부산,11:00,12:00,"90,100"
2023-08-06,에어부산,11:00,12:00,"98,700"
2023-08-06,티웨이항공,11:40,12:40,"86,000"
2023-08-06,티웨이항공,11:40,12:40,"98,700"
2023-08-06,에어부산,12:00,13:05,"93,540"
2023-08-06,에어부산,12:00,13:05,"98,700"
2023-08-06,대한항공,12:20,13:25,"101,700"
2023-08-06,대한항공,12:20,13:25,"110,700"
2023-08-06,에어부산,12:50,13:50,"97,840"
2023-08-06,에어부산,12:50,13:50,"98,700"
2023-08-06,대한항공,14:00,15:05,"101,700"
2023-08-06,대한항공,14:00,15:05,"110,700"
2023-08-06,에어부산,14:20,15:25,"93,540"
2023-08-06,에어부산,14:20,15:25,"98,700"
2023-08-06,티웨이항공,14:50,15:50,"90,000"
2023-08-06,티웨이항공,14:50,15:50,"98,700"
2023-08-06,에어부산,15:40,16:40,"97,840"
2023-08-06,에어부산,15:40,16:40,"98,700"
2023-08-06,대한항공,16:00,17:05,"110,700"
2023-08-06,에어부산,16:40,17:40,"97,840"
2023-08-06,에어부산,16:40,17:40,"98,700"
2023-08-06,대한항공,17:20,18:25,"110,700"
2023-08-06,대한항공,17:20,18:25,"170,700"
2023-08-06,티웨이항공,18:20,19:20,"94,000"
2023-08-06,티웨이항공,18:20,19:20,"98,700"
2023-08-06,에어부산,19:00,20:00,"97,840"
2023-08-06,에어부산,19:00,20:00,"98,700"
2023-08-06,대한항공,19:25,20:35,"110,700"
2023-08-06,진에어,19:40,20:40,"98,600"
2023-08-06,진에어,19:40,20:40,"100,700"
2023-08-06,제주항공,19:45,20:45,"98,700"
2023-08-06,진에어,20:05,21:05,"100,700"
2023-08-07,제주항공,06:20,07:20,"75,600"
2023-08-07,제주항공,06:20,07:20,"98,700"
2023-08-07,대한항공,07:00,08:05,"101,700"
2023-08-07,대한항공,07:00,08:05,"110,700"
2023-08-07,대한항공,07:00,08:05,"170,700"
2023-08-07,에어부산,07:20,08:25,"78,060"
2023-08-07,에어부산,07:20,08:25,"98,700"
2023-08-07,대한항공,08:05,09:10,"91,700"
2023-08-07,대한항공,08:05,09:10,"110,700"
2023-08-07,티웨이항공,08:30,09:30,"78,000"
2023-08-07,티웨이항공,08:30,09:30,"98,700"
2023-08-07,에어부산,08:40,09:40,"90,960"
2023-08-07,에어부산,08:40,09:40,"98,700"
2023-08-07,대한항공,09:00,10:05,"101,700"
2023-08-07,대한항공,09:00,10:05,"110,700"
2023-08-07,에어부산,09:40,10:40,"89,240"
2023-08-07,에어부산,09:40,10:40,"98,700"
2023-08-07,대한항공,10:25,11:30,"101,700"
2023-08-07,대한항공,10:25,11:30,"110,700"
2023-08-07,대한항공,10:25,11:30,"170,700"
2023-08-07,에어부산,11:00,12:00,"92,680"
2023-08-07,에어부산,11:00,12:00,"98,700"
2023-08-07,티웨이항공,11:40,12:40,"86,000"
2023-08-07,티웨이항공,11:40,12:40,"98,700"
2023-08-07,에어부산,12:00,13:05,"92,680"
2023-08-07,에어부산,12:00,13:05,"98,700"
2023-08-07,대한항공,12:20,13:25,"101,700"
2023-08-07,대한항공,12:20,13:25,"110,700"
2023-08-07,에어부산,12:50,13:50,"90,960"
2023-08-07,에어부산,12:50,13:50,"98,700"
2023-08-07,대한항공,14:00,15:05,"101,700"
2023-08-07,대한항공,14:00,15:05,"110,700"
2023-08-07,대한항공,14:00,15:05,"170,700"
2023-08-07,에어부산,14:20,15:25,"93,540"
2023-08-07,에어부산,14:20,15:25,"98,700"
2023-08-07,티웨이항공,14:50,15:50,"86,000"
2023-08-07,티웨이항공,14:50,15:50,"98,700"
2023-08-07,에어부산,15:40,16:40,"90,960"
2023-08-07,에어부산,15:40,16:40,"98,700"
2023-08-07,대한항공,16:00,17:05,"101,700"
2023-08-07,대한항공,16:00,17:05,"110,700"
2023-08-07,에어부산,16:40,17:40,"89,240"
2023-08-07,에어부산,16:40,17:40,"98,700"
2023-08-07,대한항공,17:20,18:25,"91,700"
2023-08-07,대한항공,17:20,18:25,"110,700"
2023-08-07,대한항공,17:20,18:25,"170,700"
2023-08-07,에어부산,17:40,18:40,"89,240"
2023-08-07,에어부산,17:40,18:40,"98,700"
2023-08-07,티웨이항공,18:20,19:20,"82,000"
2023-08-07,티웨이항공,18:20,19:20,"98,700"
2023-08-07,에어부산,19:00,20:00,"84,940"
2023-08-07,에어부산,19:00,20:00,"98,700"
2023-08-07,대한항공,19:25,20:35,"91,700"
2023-08-07,대한항공,19:25,20:35,"110,700"
2023-08-07,진에어,19:40,20:40,"82,600"
2023-08-07,진에어,19:40,20:40,"100,700"
2023-08-07,제주항공,19:45,20:45,"85,600"
2023-08-07,제주항공,19:45,20:45,"98,700"
2023-08-07,진에어,20:05,21:05,"84,600"
2023-08-07,진에어,20:05,21:05,"100,700"
2023-08-07,에어부산,20:20,21:35,"89,240"
2023-08-07,에어부산,20:20,21:35,"98,700"
2023-08-08,제주항공,06:20,07:20,"85,600"
2023-08-08,제주항공,06:20,07:20,"98,700"
2023-08-08,대한항공,07:00,08:05,"91,700"
2023-08-08,대한항공,07:00,08:05,"110,700"
2023-08-08,대한항공,07:00,08:05,"170,700"
2023-08-08,에어부산,07:20,08:25,"84,940"
2023-08-08,아시아나항공,07:20,08:25,"98,700"
2023-08-08,에어부산,07:20,08:25,"98,700"
2023-08-08,대한항공,08:05,09:10,"91,700"
2023-08-08,대한항공,08:05,09:10,"110,700"
2023-08-08,티웨이항공,08:30,09:30,"86,000"
2023-08-08,티웨이항공,08:30,09:30,"98,700"
2023-08-08,에어부산,08:40,09:40,"90,960"
2023-08-08,아시아나항공,08:40,09:40,"98,700"
2023-08-08,에어부산,08:40,09:40,"98,700"
2023-08-08,대한항공,09:00,10:05,"91,700"
2023-08-08,대한항공,09:00,10:05,"110,700"
2023-08-08,에어부산,09:40,10:40,"92,680"
2023-08-08,아시아나항공,09:40,10:40,"98,700"
2023-08-08,에어부산,09:40,10:40,"98,700"
2023-08-08,대한항공,10:25,11:30,"91,700"
2023-08-08,대한항공,10:25,11:30,"110,700"
2023-08-08,대한항공,10:25,11:30,"170,700"
2023-08-08,에어부산,11:00,12:00,"90,960"
2023-08-08,아시아나항공,11:00,12:00,"98,700"
2023-08-08,에어부산,11:00,12:00,"98,700"
2023-08-08,티웨이항공,11:40,12:40,"86,000"
2023-08-08,티웨이항공,11:40,12:40,"98,700"
2023-08-08,에어부산,12:00,13:05,"90,960"
2023-08-08,아시아나항공,12:00,13:05,"98,700"
2023-08-08,에어부산,12:00,13:05,"98,700"
2023-08-08,대한항공,12:20,13:25,"91,700"
2023-08-08,대한항공,12:20,13:25,"110,700"
2023-08-08,에어부산,12:50,13:50,"90,960"
